Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Change,Hour,Weekday,Month,Volatility,CandleBodyRatio,Year
11/07/2018,BTCUSD,6350,6370,6345.76,6356.48,126.46,804221.55,0.1020472441,20:00,Wednesday,July,0.0038173228,0.2673267327,2018
11/07/2018,BTCUSD,6342.96,6354.19,6291,6350,986.73,6231532.37,0.1109891912,19:00,Wednesday,July,0.0099622258,0.1114100332,2018
11/07/2018,BTCUSD,6351.79,6359.56,6337.44,6342.96,107.86,684711.31,-0.1400000000,18:00,Wednesday,July,0.0034824829,0.3991862568,2018
11/07/2018,BTCUSD,6345.93,6371.45,6341.37,6351.79,194.5,1236655.99,0.0900000000,17:00,Wednesday,July,0.0047400460,0.1948138298,2018
11/07/2018,BTCUSD,6361.51,6364.94,6326.76,6345.93,177.23,1124136.88,-0.2400000000,16:00,Wednesday,July,0.0060017197,0.4080670508,2018
11/07/2018,BTCUSD,6364.74,6369.65,6350,6361.51,196.35,1248900.09,-0.0500000000,15:00,Wednesday,July,0.0030873217,0.1643765903,2018
11/07/2018,BTCUSD,6372.31,6373.55,6336.5,6364.74,213.19,1354805.0,-0.1200000000,14:00,Wednesday,July,0.0058142181,0.2043184885,2018
11/07/2018,BTCUSD,6369.94,6396.26,6359.86,6372.31,414.21,2642648.72,0.0400000000,13:00,Wednesday,July,0.0057143395,0.0651098901,2018
11/07/2018,BTCUSD,6374.5,6388.67,6349.93,6369.94,162.46,1033356.18,-0.0715350224,12:00,Wednesday,July,0.0060773394,0.1177077956,2018
11/07/2018,BTCUSD,6346.74,6397.21,6341.23,6374.5,311.06,1982035.1,0.4373899041,11:00,Wednesday,July,0.0088202762,0.4958913898,2018
11/07/2018,BTCUSD,6341.93,6352.76,6320.68,6346.74,98.7,625785.95,0.0800000000,10:00,Wednesday,July,0.0050583970,0.1499376559,2018
11/07/2018,BTCUSD,6367.25,6376.07,6320,6341.93,180.38,1144051.15,-0.4000000000,09:00,Wednesday,July,0.0088059995,0.4515783842,2018
11/07/2018,BTCUSD,6348.35,6375.12,6343.37,6367.25,183.88,1169387.44,0.3000000000,08:00,Wednesday,July,0.0050012996,0.5952755906,2018
11/07/2018,BTCUSD,6310.75,6365.34,6306.66,6348.35,292.43,1852064.62,0.6000000000,07:00,Wednesday,July,0.0092984194,0.6407634628,2018
11/07/2018,BTCUSD,6337.94,6349,6285,6310.75,370.21,2334908.39,-0.4300000000,06:00,Wednesday,July,0.0100979183,0.4248437500,2018
11/07/2018,BTCUSD,6347.12,6349,6290.07,6337.94,496.78,3142247.09,-0.1400000000,05:00,Wednesday,July,0.0092845259,0.1557780417,2018
11/07/2018,BTCUSD,6333.75,6365.28,6319.64,6347.12,214.86,1362978.77,0.2100000000,04:00,Wednesday,July,0.0072058417,0.2929447853,2018
11/07/2018,BTCUSD,6363.77,6374.55,6333.63,6333.75,224.16,1424822.5,-0.4700000000,03:00,Wednesday,July,0.0064301507,0.7336265885,2018
11/07/2018,BTCUSD,6367.45,6375.2,6351.93,6363.77,194.65,1238376.47,-0.0600000000,02:00,Wednesday,July,0.0036545242,0.1581435324,2018
11/07/2018,BTCUSD,6387.73,6396.99,6354.25,6367.45,202.14,1289045.41,-0.3200000000,01:00,Wednesday,July,0.0066909528,0.4744969584,2018
11/07/2018,BTCUSD,6299.46,6400,6288.43,6387.73,556.72,3536902.36,1.4000000000,00:00,Wednesday,July,0.0177110419,0.7911624989,2018
10/07/2018,BTCUSD,6371.57,6373.3,6270.84,6299.46,740.31,4671005.1,-1.1300000000,23:00,Tuesday,July,0.0160808090,0.7037868436,2018
10/07/2018,BTCUSD,6373.9,6389.9,6350,6371.57,267.89,1705861.7,-0.0365553272,22:00,Tuesday,July,0.0062599037,0.0583959900,2018
10/07/2018,BTCUSD,6388.59,6407.51,6370,6373.9,151.16,965860.84,-0.2299411920,21:00,Tuesday,July,0.0058714051,0.3916288990,2018
10/07/2018,BTCUSD,6373.75,6400.99,6370,6388.59,304.55,1944997.16,0.2300000000,20:00,Tuesday,July,0.0048621298,0.4788641497,2018
10/07/2018,BTCUSD,6373.21,6377.72,6356.56,6373.75,237.2,1510212.41,0.0100000000,19:00,Tuesday,July,0.0033201479,0.0255198488,2018
10/07/2018,BTCUSD,6364.99,6386.05,6358.64,6373.21,153.57,979101.72,0.1300000000,18:00,Tuesday,July,0.0043063697,0.2998905509,2018
10/07/2018,BTCUSD,6357.31,6379.71,6334.89,6364.99,196.25,1248479.3,0.1200000000,17:00,Tuesday,July,0.0070501517,0.1713520750,2018
10/07/2018,BTCUSD,6385,6410.18,6333.63,6357.31,331.58,2113111.52,-0.4336726703,16:00,Tuesday,July,0.0119890368,0.3617243632,2018
10/07/2018,BTCUSD,6378.05,6391.52,6363.8,6385,152.02,969397.62,0.1089674744,15:00,Tuesday,July,0.0043461560,0.2507215007,2018
10/07/2018,BTCUSD,6388.58,6392.94,6341.64,6378.05,420.65,2677103.57,-0.1600000000,14:00,Tuesday,July,0.0080299534,0.2052631579,2018
10/07/2018,BTCUSD,6371.8,6400,6354.89,6388.58,442.86,2825502.74,0.2633478766,13:00,Tuesday,July,0.0070796321,0.3719796054,2018
10/07/2018,BTCUSD,6365.03,6380.33,6333.43,6371.8,399.54,2539600.16,0.1063624209,12:00,Tuesday,July,0.0073683863,0.1443496802,2018
10/07/2018,BTCUSD,6475.39,6475.39,6298.95,6365.03,1393.7,8882928.43,-1.7000000000,11:00,Tuesday,July,0.0272477797,0.6254817502,2018
10/07/2018,BTCUSD,6450.34,6479.98,6425,6475.39,665.34,4292149.79,0.3900000000,10:00,Tuesday,July,0.0085235817,0.4556202255,2018
10/07/2018,BTCUSD,6587.97,6597.88,6434.49,6450.34,1180.06,7674377.9,-2.0900000000,09:00,Tuesday,July,0.0248012666,0.8423404125,2018
10/07/2018,BTCUSD,6605.66,6622.9,6579.01,6587.97,167.93,1108556.67,-0.2700000000,08:00,Tuesday,July,0.0066443020,0.4030530873,2018
10/07/2018,BTCUSD,6597.85,6616.37,6586.03,6605.66,208.42,1375495.37,0.1200000000,07:00,Tuesday,July,0.0045984677,0.2574159525,2018
10/07/2018,BTCUSD,6620.1,6628.5,6561.38,6597.85,715.13,4715779.85,-0.3360976420,06:00,Tuesday,July,0.0101388197,0.3314958284,2018
10/07/2018,BTCUSD,6640.57,6653.46,6620,6620.1,133.22,883912.06,-0.3082566707,05:00,Tuesday,July,0.0050387241,0.6117752540,2018
10/07/2018,BTCUSD,6635.92,6651.06,6627.64,6640.57,94.0,624289.31,0.0700000000,04:00,Tuesday,July,0.0035292770,0.1985482494,2018
